Driver,Effect,Software_Addressable,Proposed_Product,Rank,TAM_USD,Penetration,Margin,Potential_Revenue_USD,Potential_Profit_USD,Derivative_Coefficient
Consumer Spending,7.964284115627479,True,Budget AI Platform,1,5000000000.0,0.0432186814566789,0.2658317659628079,216093407.2833945,57444492.071065046,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget AI Dashboard,2,5000000000.0,0.04575793759734147,0.3046052043589046,228789687.98670736,69690529.66440101,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget AI Marketplace,3,5000000000.0,0.022825320436629486,0.3463433527455134,114126602.18314743,39526990.03756471,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget AI SaaS,4,5000000000.0,0.04283419105971059,0.31790964579154307,214170955.29855296,68087012.53779937,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget AI Coach,5,5000000000.0,0.02384340898026638,0.2675578906843351,119217044.90133189,31897461.06742003,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget AI Assistant,6,5000000000.0,0.03112394072697744,0.3390147483272903,155619703.6348872,52757374.66254878,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget AI App,7,5000000000.0,0.039315953602419934,0.3234142419906245,196579768.01209968,63576696.66232604,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget AI Service,8,5000000000.0,0.033302425964819936,0.23408580826771655,166512129.8240997,38978126.49625333,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget AI Studio,9,5000000000.0,0.03663754361047504,0.20957258841562632,183187718.0523752,38391124.23818823,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget AI Hub,10,5000000000.0,0.04482893515977746,0.29474965986830975,224144675.7988873,66066566.9530146,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget AI Exchange,11,5000000000.0,0.042742632202561213,0.2531788952194803,213713161.01280606,54107661.99908514,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget AI Network,12,5000000000.0,0.0491209407318471,0.33396816819832964,245604703.6592355,82024152.98196848,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget AI Analytics,13,5000000000.0,0.04335150491221286,0.22919580617779514,216757524.5610643,49679915.58687636,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget AI Engine,14,5000000000.0,0.034001630111811024,0.20657056486808434,170008150.55905512,35118679.693162344,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget AI API,15,5000000000.0,0.024628684762026436,0.30245734298636817,123143423.81013218,37245632.771856844,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget AI Toolkit,16,5000000000.0,0.04234286467723451,0.3451264598651315,211714323.38617256,73068214.93301135,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget AI OS,17,5000000000.0,0.029774760744144556,0.2555689559052303,148873803.72072276,38047522.57854531,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget AI System,18,5000000000.0,0.03408667433827424,0.22842070386264285,170433371.6913712,38930510.72342644,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget AI Portal,19,5000000000.0,0.02389764516006415,0.2713557389338901,119488225.80032076,32423815.80594555,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget AI Bot,20,5000000000.0,0.026807280471526522,0.30047209920237655,134036402.3576326,40274199.18593224,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget AI Planner,21,5000000000.0,0.03311455756616992,0.3249017294086756,165572787.8308496,53794885.109258756,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget AI Tracker,22,5000000000.0,0.04100795306006747,0.24685499620730617,205039765.30033734,50615090.48556172,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget AI Optimizer,23,5000000000.0,0.04496779404185603,0.3207146536245203,224838970.20928016,72109152.45196313,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget AI Simulator,24,5000000000.0,0.03162435137090523,0.24324921558953663,158121756.85452616,38462993.322502926,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Smart Platform,25,5000000000.0,0.04047486511924926,0.2209628725413965,202374325.5962463,44717212.31237444,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Smart Dashboard,26,5000000000.0,0.02599724607425325,0.20110434046265083,129986230.37126626,26140795.12803969,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Smart Marketplace,27,5000000000.0,0.04360773132506415,0.29972762848880485,218038656.62532076,65352209.46919223,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Smart SaaS,28,5000000000.0,0.04115496135879006,0.3171093546532952,205774806.7939503,65253116.186336085,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Smart Coach,29,5000000000.0,0.0337674732661502,0.28531117939293404,168837366.330751,48171188.11342342,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Smart Assistant,30,5000000000.0,0.024193909943829722,0.21717951103039604,120969549.7191486,26272107.65757188,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Smart App,31,5000000000.0,0.04005208885371415,0.27066443092146986,200260444.26857075,54203379.18403343,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Smart Service,32,5000000000.0,0.036957083194435664,0.31474982861240386,184785415.9721783,58161178.007314876,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Smart Studio,33,5000000000.0,0.039041549600017725,0.28303691009869936,195207748.00008863,55250997.821270645,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Smart Hub,34,5000000000.0,0.0367762148223624,0.24559251470939183,183881074.111812,45159815.398583956,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Smart Exchange,35,5000000000.0,0.020924535037038183,0.2655076083848544,104622675.18519092,27778116.27124549,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Smart Network,36,5000000000.0,0.026437540184585877,0.2612792965586954,132187700.92292939,34537909.51085421,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Smart Analytics,37,5000000000.0,0.04560209219804498,0.23509092287980113,228010460.9902249,53603189.70044087,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Smart Engine,38,5000000000.0,0.02174908225067198,0.2422075838032995,108745411.2533599,26338963.309372436,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Smart API,39,5000000000.0,0.02880781273300051,0.29928747720903426,144039063.66500255,43109087.983850084,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Smart Toolkit,40,5000000000.0,0.036710964570238355,0.31758473136596205,183554822.8511918,58294209.106122494,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Smart OS,41,5000000000.0,0.039929406209821626,0.2609580292160106,199647031.04910812,52099495.76140293,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Smart System,42,5000000000.0,0.04442061153998104,0.2250459379861556,222103057.6999052,49983390.9496684,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Smart Portal,43,5000000000.0,0.020681362194015816,0.21350717911634629,103406810.97007908,22078096.511638835,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Smart Bot,44,5000000000.0,0.04167078051789351,0.2692815845377081,208353902.58946756,56105869.03390711,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Smart Planner,45,5000000000.0,0.024838153371008052,0.27515671626550453,124190766.85504027,34171923.59832774,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Smart Tracker,46,5000000000.0,0.024569363081395054,0.3044480562616604,122846815.40697527,37400474.168588616,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Smart Optimizer,47,5000000000.0,0.03338468826722092,0.2571531839144724,166923441.3361046,42924894.40953995,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Smart Simulator,48,5000000000.0,0.029045362674436297,0.29454238896783325,145226813.37218148,42775452.552828,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Quantum Platform,49,5000000000.0,0.030854378316601712,0.21314748789741517,154271891.58300856,32882666.144100662,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Quantum Dashboard,50,5000000000.0,0.02354017706361546,0.3442846496824272,117700885.3180773,40522608.06904578,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Quantum Marketplace,51,5000000000.0,0.04725742072122821,0.30495607007161246,236287103.60614106,72057186.5243327,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Quantum SaaS,52,5000000000.0,0.027976098843785588,0.3453764566021586,139880494.21892795,48311429.44109207,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Quantum Coach,53,5000000000.0,0.04336252711897384,0.30753352837384934,216812635.59486923,66677154.820523776,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Quantum Assistant,54,5000000000.0,0.03348084506431366,0.24083623427677386,167404225.3215683,40317003.22846706,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Quantum App,55,5000000000.0,0.022891728864604978,0.33539035948157625,114458644.32302488,38388325.86527319,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Quantum Service,56,5000000000.0,0.03367328869500833,0.23035450471928456,168366443.47504166,38783968.69804064,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Quantum Studio,57,5000000000.0,0.029178698724519576,0.2868829353412844,145893493.62259787,41854353.697645836,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Quantum Hub,58,5000000000.0,0.02530318348817695,0.32849214261385634,126515917.44088475,41559484.79491399,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Quantum Exchange,59,5000000000.0,0.042755585895056306,0.30791944339264055,213777929.47528154,65826381.05365986,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Quantum Network,60,5000000000.0,0.03296279119325311,0.2940963261053665,164813955.96626556,48471178.940570354,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Quantum Analytics,61,5000000000.0,0.03752293906738206,0.297476990233223,187614695.3369103,55811054.89234717,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Quantum Engine,62,5000000000.0,0.022533329634196672,0.26237111032559146,112666648.17098336,29560473.577283673,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Quantum API,63,5000000000.0,0.021248425215856775,0.27409862288667786,106242126.07928388,29120820.450884514,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Quantum Toolkit,64,5000000000.0,0.02989583636998356,0.22167862832990703,149479181.8499178,33136339.996366512,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Quantum OS,65,5000000000.0,0.02310208903167655,0.2881466858266568,115510445.15838274,33283951.950749785,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Quantum System,66,5000000000.0,0.025117789056106583,0.33876801775651955,125588945.28053291,42545518.04481813,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Quantum Portal,67,5000000000.0,0.03743183419101185,0.25203047068022555,187159170.95505926,47169813.94792438,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Quantum Bot,68,5000000000.0,0.0377274647444425,0.20342058065445465,188637323.72221252,38372713.9246748,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Quantum Planner,69,5000000000.0,0.04875677639724336,0.27234551554143505,243783881.98621678,66393447.02022857,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Quantum Tracker,70,5000000000.0,0.04348205681750859,0.2124094999883658,217410284.08754292,46180009.73536356,0.8797755709123376
Consumer Spending,7.964284115627479,True,Budget Quantum Optimizer,71,5000000000.0,0.03459974992514481,0.27360604915317815,172998749.62572405,47333504.39353421,0.8797755709123376
